date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,173.699997,177.970001,173.009995,173.020004,173.020004,0
2010-06-02,173.539993,177.130005,172.759995,177.029999,177.029999,0
2010-06-03,176.929993,177.250000,170.919998,173.210007,173.210007,0
2010-06-04,172.199997,172.699997,168.419998,169.059998,169.059998,0
2010-06-07,169.059998,174.910004,167.500000,172.250000,172.250000,0
2010-06-08,172.619995,177.389999,172.619995,174.559998,174.559998,0
2010-06-09,174.619995,175.850006,171.690002,172.429993,172.429993,0
2010-06-10,172.779999,175.809998,172.589996,175.000000,175.000000,0
2010-06-11,174.940002,176.160004,174.470001,175.309998,175.309998,0
2010-06-14,175.880005,176.220001,172.380005,172.649994,172.649994,0
2010-06-15,172.839996,177.009995,172.839996,176.949997,176.949997,0
2010-06-16,176.619995,179.869995,176.119995,178.710007,178.710007,0
2010-06-17,179.229996,183.149994,179.229996,182.380005,182.380005,0
2010-06-18,183.320007,186.240005,183.320007,185.619995,185.619995,0
2010-06-21,186.979996,187.199997,180.570007,181.600006,181.600006,0
2010-06-22,181.740005,183.389999,179.449997,179.750000,179.750000,0
2010-06-23,179.699997,181.039993,176.529999,180.210007,180.210007,0
2010-06-24,180.089996,181.889999,178.410004,178.669998,178.669998,0
2010-06-25,179.220001,186.600006,179.199997,185.119995,185.119995,0
2010-06-28,184.990005,187.169998,181.750000,183.110001,183.110001,0
2010-06-29,181.830002,181.880005,176.729996,177.899994,177.899994,0
2010-06-30,177.699997,180.360001,177.259995,177.630005,177.630005,0
2010-07-01,177.259995,177.520004,167.229996,169.880005,169.880005,0
2010-07-02,170.470001,172.699997,168.850006,169.759995,169.759995,0
2010-07-06,171.309998,172.100006,166.789993,168.369995,168.369995,0
2010-07-07,168.610001,173.089996,167.399994,173.089996,173.089996,0
2010-07-08,173.309998,173.789993,168.449997,170.880005,170.880005,0
2010-07-09,171.050003,176.800003,171.029999,175.089996,175.089996,0
2010-07-12,174.509995,176.130005,172.539993,173.729996,173.729996,0
2010-07-13,174.539993,177.710007,173.820007,174.029999,174.029999,0
2010-07-14,173.899994,176.380005,172.440002,173.789993,173.789993,0
2010-07-15,174.029999,174.300003,170.960007,173.059998,173.059998,0
2010-07-16,172.729996,172.729996,166.899994,167.389999,167.389999,0
